,path
紫陽血煞神劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_039.w_039'
紫焰金紋劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_040.w_040'
帝皇劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_041.w_041'
金紋玄冥龍鐵劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_042.w_042'
羅煞劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_043.w_043'
純陽無極劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_044.w_044'
七煞血屠劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_045.w_045'
霸王金紋巨靈劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_046.w_046'
寒鐵幽冥雷劫刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_047.w_047'
元屠刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_048.w_048'
風雷九冥鏈鋸,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_049.w_049'
黑煞血冥真龍劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/2D_RPG_Sword_Icon/w_050.w_050'
神紋逆天斧,Texture2D'/Game/StarterContent/Image/UnityAssetStore/RPG_icons/Ax_2.Ax_2'
黃金射日弓,Texture2D'/Game/StarterContent/Image/UnityAssetStore/RPG_icons/Sword_2.Sword_2'
青鋼迅雷劍,Texture2D'/Game/StarterContent/Image/UnityAssetStore/RPG_icons/Sword_1.Sword_1'
龍冥羅煞刀,Texture2D'/Game/StarterContent/Image/UnityAssetStore/RPG_icons/Sword_2.Sword_2'
九幽寒鐵劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_01.S_01'
龍火誅邪破魔劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_02.S_02'
紫影深淵劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_03.S_03'
寒晶玄冰劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_04.S_04'
紫影奔雷劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_05.S_05'
藍晶黑鐵玉劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_06.S_06'
真武七絕劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_07.S_07'
黑冥蛇斧,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_08.S_08'
九幽陰風刀,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_09.S_09'
黃晶劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_10.S_10'
青柱石劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_11.S_11'
烈火焚天紅蓮刀,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_12.S_12'
翡翠劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_13.S_13'
黃天滅龍劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_14.S_14'
龍頭噬血秘銀刀,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_15.S_15'
星核滅卻劍,Texture2D'/Game/StarterContent/Image/ac_illust_com/S_16.S_16'
